Date,Consumption,Production,Battery Charging,Battery Discharging,"Smart Meter 
Messung Haus - currentPower 
192.168.86.161","Smart Meter 
Messung Haus - activeDevice 
192.168.86.161","Inverter 
PV-Anlage - currentPower 
192.168.86.250","Inverter 
PV-Anlage - activeDevice 
192.168.86.250","Smart Plug 
Entfeuchter Waschen - currentPower 
192.168.86.23","Smart Plug 
Entfeuchter Waschen - activeDevice 
192.168.86.23","Smart Plug 
Wasserpumpe - currentPower 
192.168.86.27","Smart Plug 
Wasserpumpe - activeDevice 
192.168.86.27","Car Charging 
Ladestation - currentPower 
","Car Charging 
Ladestation - activeDevice 
","Energy Measurement 
Entfeuchter Waschen - currentPower 
192.168.86.23","Energy Measurement 
Entfeuchter Waschen - activeDevice 
192.168.86.23","Energy Measurement 
Wasserpumpe - currentPower 
192.168.86.27","Energy Measurement 
Wasserpumpe - activeDevice 
192.168.86.27"
2026-07-15T00:00:00.000+02:00,584,0,0,0,583.67,1,0,0,4.67,1,0,0,0,0,0,0,0,0
2026-07-15T00:15:00.000+02:00,579,0,0,0,578.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T00:30:00.000+02:00,557,0,0,0,556,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T00:45:00.000+02:00,553,0,0,0,552.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T01:00:00.000+02:00,555,0,0,0,554.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T01:15:00.000+02:00,561,0,0,0,560.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T01:30:00.000+02:00,545,0,0,0,544.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T01:45:00.000+02:00,513,0,0,0,513.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T02:00:00.000+02:00,529,0,0,0,528.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T02:15:00.000+02:00,542,0,0,0,541.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T02:30:00.000+02:00,567,0,0,0,566.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T02:45:00.000+02:00,573,0,0,0,572.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T03:00:00.000+02:00,579,0,0,0,578,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T03:15:00.000+02:00,599,0,0,0,598.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T03:30:00.000+02:00,592,0,0,0,591.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T03:45:00.000+02:00,510,0,0,0,510.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T04:00:00.000+02:00,513,0,0,0,512.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T04:15:00.000+02:00,542,0,0,0,541.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T04:30:00.000+02:00,562,0,0,0,561.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T04:45:00.000+02:00,539,0,0,0,538.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T05:00:00.000+02:00,537,0,0,0,536,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T05:15:00.000+02:00,557,0,0,0,556.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T05:30:00.000+02:00,1485,0,0,0,1485,1,0,0,0,0,904,1,0,0,0,0,0,0
2026-07-15T05:45:00.000+02:00,1665,0,0,0,1664.67,1,0,0,0,0,926,1,0,0,0,0,0,0
2026-07-15T06:00:00.000+02:00,1604,1,0,0,1603,1,0.67,1,6,1,912.67,1,0,0,0,0,0,0
2026-07-15T06:15:00.000+02:00,1627,1,0,0,1625.67,1,1,1,0,1,924,1,0,0,0,0,0,0
2026-07-15T06:30:00.000+02:00,1633,15,0,0,1617.33,1,14.67,1,0,1,923.33,1,0,0,0,0,0,0
2026-07-15T06:45:00.000+02:00,1537,169,0,0,1367.33,1,169,1,0,1,841.33,1,0,0,0,0,0,0
2026-07-15T07:00:00.000+02:00,1604,262,0,0,1342.33,1,261.67,1,0,1,922,1,0,0,0,0,0,0
2026-07-15T07:15:00.000+02:00,1658,189,0,0,1469,1,188.67,1,0,1,922.33,1,0,0,0,0,0,0
2026-07-15T07:30:00.000+02:00,865,220,0,0,645.33,1,219.67,1,0,1,135,1,0,0,0,0,0,0
2026-07-15T07:45:00.000+02:00,770,353,0,0,417.33,1,352.67,1,0,1,52.67,1,0,0,0,0,0,0
2026-07-15T08:00:00.000+02:00,737,496,0,0,240,1,496,1,0,1,62.33,1,0,0,0,0,0,0
2026-07-15T08:15:00.000+02:00,783,491,0,0,291.67,1,491,1,0,1,1,1,0,0,0,0,0,0
2026-07-15T08:30:00.000+02:00,797,938,0,0,-141,1,937.67,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T08:45:00.000+02:00,799,1231,0,0,-432.67,1,1231.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T09:00:00.000+02:00,692,1167,0,0,-475,1,1167,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T09:15:00.000+02:00,652,1318,0,0,-665.67,1,1317.67,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T09:30:00.000+02:00,665,1400,0,0,-735,1,1399.67,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T09:45:00.000+02:00,648,1885,0,0,-1236.67,1,1884.67,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T10:00:00.000+02:00,679,1926,0,0,-1246.67,1,1926.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T10:15:00.000+02:00,666,2019,0,0,-1352,1,2019,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T10:30:00.000+02:00,690,1981,0,0,-1291,1,1981.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T10:45:00.000+02:00,655,1301,0,0,-645.33,1,1301,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T11:00:00.000+02:00,622,2128,0,0,-1510,1,2128,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T11:15:00.000+02:00,662,2338,0,0,-1674.67,1,2337.67,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T11:30:00.000+02:00,683,2207,0,0,-1523.67,1,2207.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T11:45:00.000+02:00,675,2141,0,0,-1465.67,1,2141.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T12:00:00.000+02:00,825,1860,0,0,-1034.33,1,1860,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T12:15:00.000+02:00,713,2065,0,0,-1354,1,2065.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T12:30:00.000+02:00,660,2224,0,0,-1563,1,2224,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T12:45:00.000+02:00,679,1631,0,0,-952,1,1631.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T13:00:00.000+02:00,653,1046,0,0,-392.67,1,1046,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T13:15:00.000+02:00,613,1838,0,0,-1229.33,1,1838.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T13:30:00.000+02:00,595,2225,0,0,-1629.67,1,2225,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T13:45:00.000+02:00,610,671,0,0,-61,1,670.67,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T14:00:00.000+02:00,662,610,0,0,52.33,1,610,1,0,0,0,0,0,0,0,0,0,0
2026-07-15T14:15:00.000+02:00,680,808,0,0,-127.33,1,807.67,1,5.67,1,0,0,0,0,0,0,0,0
2026-07-15T14:30:00.000+02:00,649,1744,0,0,-1093.67,1,1743.67,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T14:45:00.000+02:00,666,2384,0,0,-1718,1,2383.67,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T15:00:00.000+02:00,651,1282,0,0,-631,1,1281.67,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T15:15:00.000+02:00,615,1667,0,0,-1051.67,1,1667.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T15:30:00.000+02:00,613,1481,0,0,-867.33,1,1481.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T15:45:00.000+02:00,609,731,0,0,-122.33,1,731.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T16:00:00.000+02:00,622,431,0,0,191,1,430.67,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T16:15:00.000+02:00,637,439,0,0,197.33,1,439.33,1,0,0,0,0,0,0,0,0,0,0
2026-07-15T16:30:00.000+02:00,638,1258,0,0,-619.67,1,1257.67,1,5.67,1,0,0,0,0,0,0,0,0
2026-07-15T16:45:00.000+02:00,619,1704,0,0,-1084.67,1,1704,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T17:00:00.000+02:00,644,1675,0,0,-1030.33,1,1675,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T17:15:00.000+02:00,663,801,0,0,-138,1,801.33,1,0,1,0,0,0,0,0,0,0,0
2026-07-15T17:30:00.000+02:00,665,307,0,0,357.33,1,307.33,1,0,0,0,0,0,0,0,0,0,0
2026-07-15T17:45:00.000+02:00,647,240,0,0,406.33,1,239.67,1,0,0,0,0,0,0,0,0,0,0
2026-07-15T18:00:00.000+02:00,612,312,0,0,299.67,1,311.67,1,0,0,0,0,0,0,0,0,0,0
