"DateTime";"2024 [Wh]";"2025 [Wh]";"2026 [Wh]"
"Mai 01";15694,603;20966,549;21264,82
"Mai 02";10673,621;20161,682;19568,59
"Mai 03";7933,8477;12374,696;15588,811
"Mai 04";16433,27;7362,537;12608,281
"Mai 05";14221,97;4568,303;9829,083
"Mai 06";5298,225;6089,1167;9003,272
"Mai 07";5425,827;7177,799;13633,1045
"Mai 08";12465,519;14413,675;21957,748
"Mai 09";13099,837;17411,451;20612,646
"Mai 10";19957,387;21942,707;13797,3125
"Mai 11";19785,025;22597,242;9100,095
"Mai 12";17423,818;19251,953;21031,219
"Mai 13";15104,379;18327,945;18586,861
"Mai 14";17816,164;22388,492;13791,349
"Mai 15";8368,233;19987,832;12603,189
"Mai 16";8551,838;20289,164;16837,994
"Mai 17";13081,48;17316,373;21767,49
"Mai 18";16589,04;21436,865;10274,373
"Mai 19";21203,223;20976,166;17312,662
"Mai 20";18681,588;13579,335;16235,319
"Mai 21";7027,2227;10103,685;22803,982
"Mai 22";12802,217;6962,4614;23112,305
"Mai 23";7628,3794;18454,877;24499,654
"Mai 24";14076,65;19407,404;24702,146
"Mai 25";16915,736;10529,191;23842,342
"Mai 26";15600,359;10777,78;23745,977
"Mai 27";7176,437;13737,761;22639,627
"Mai 28";18517,814;7845,296;21941,605
"Mai 29";9588,713;17650,76;25167,123
"Mai 30";10732,886;23227,898;22465,479
"Mai 31";3475,3218;22093,057;19029,611
