Date,Consumption,Production,Battery Charging,Battery Discharging,"Smart Meter 
Messung Haus - currentPower 
192.168.86.161","Smart Meter 
Messung Haus - activeDevice 
192.168.86.161","Inverter 
PV-Anlage - currentPower 
192.168.86.250","Inverter 
PV-Anlage - activeDevice 
192.168.86.250","Smart Plug 
Entfeuchter Waschen - currentPower 
192.168.86.23","Smart Plug 
Entfeuchter Waschen - activeDevice 
192.168.86.23","Smart Plug 
Wasserpumpe - currentPower 
192.168.86.27","Smart Plug 
Wasserpumpe - activeDevice 
192.168.86.27","Car Charging 
Ladestation - currentPower 
","Car Charging 
Ladestation - activeDevice 
","Energy Measurement 
Entfeuchter Waschen - currentPower 
192.168.86.23","Energy Measurement 
Entfeuchter Waschen - activeDevice 
192.168.86.23","Energy Measurement 
Wasserpumpe - currentPower 
192.168.86.27","Energy Measurement 
Wasserpumpe - activeDevice 
192.168.86.27"
2025-07-01T00:00:00.000+02:00,651,0,0,0,650.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T00:15:00.000+02:00,635,0,0,0,635,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T00:30:00.000+02:00,634,0,0,0,633,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T00:45:00.000+02:00,643,0,0,0,642,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T01:00:00.000+02:00,652,0,0,0,651.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T01:15:00.000+02:00,604,0,0,0,603.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T01:30:00.000+02:00,646,0,0,0,645,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T01:45:00.000+02:00,657,0,0,0,655.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T02:00:00.000+02:00,663,0,0,0,662.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T02:15:00.000+02:00,625,0,0,0,624.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T02:30:00.000+02:00,657,0,0,0,655.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T02:45:00.000+02:00,634,0,0,0,633.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T03:00:00.000+02:00,642,0,0,0,641,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T03:15:00.000+02:00,600,0,0,0,600.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T03:30:00.000+02:00,620,0,0,0,619,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T03:45:00.000+02:00,614,0,0,0,613.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T04:00:00.000+02:00,652,0,0,0,651,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T04:15:00.000+02:00,622,0,0,0,621.33,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T04:30:00.000+02:00,677,0,0,0,676.67,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-01T04:45:00.000+02:00,647,0,0,0,646.33,1,0,0,0,0,0,0,0,0,0,0,0,0
